iter	MultiClass
0	1.362500355
1	1.34006751
2	1.318449946
3	1.297508901
4	1.27692316
5	1.257347761
6	1.238397393
7	1.219653645
8	1.20167769
9	1.18405622
10	1.166854174
11	1.15047229
12	1.134584697
13	1.11893675
14	1.103631979
15	1.088953066
16	1.074636904
17	1.06066528
18	1.046793143
19	1.033424878
20	1.020525245
21	1.00788739
22	0.9954962196
23	0.9834789627
24	0.9715950608
25	0.9600665416
26	0.9486120883
27	0.9376089072
28	0.9268483574
29	0.9162313636
30	0.9058590039
31	0.8955706991
32	0.8857697228
33	0.8759966982
34	0.8665774903
35	0.8571215644
36	0.8480031106
37	0.839087357
38	0.8301571632
39	0.8214387682
40	0.8129227837
41	0.8047070403
42	0.7966432629
43	0.7885604712
44	0.7806983629
45	0.7730070755
46	0.7655488283
47	0.7581422053
48	0.7508045485
49	0.7436488587
50	0.7365939575
51	0.7297159457
52	0.7227193244
53	0.716082479
54	0.7095856828
55	0.7032187117
56	0.6968627718
57	0.690751696
58	0.6846485187
59	0.6785750511
60	0.672688543
61	0.6668964927
62	0.6612040545
63	0.6555823639
64	0.6501067972
65	0.6444626991
66	0.6390195924
67	0.6336793044
68	0.6285455286
69	0.6234295664
70	0.6183634393
71	0.6132733205
72	0.6082435127
73	0.6032570533
74	0.5984061382
75	0.5935501393
76	0.5889620382
77	0.584504467
78	0.5799802528
79	0.5755253145
80	0.5712586445
81	0.5669872723
82	0.5626713323
83	0.5583748635
84	0.5541277941
85	0.5501131085
86	0.546188459
87	0.5422941785
88	0.5384622163
89	0.5344861262
90	0.5305494678
91	0.5267255253
92	0.5229763683
93	0.5192765627
94	0.5157270523
95	0.5122162566
96	0.5086683096
97	0.5052630169
98	0.501752214
99	0.498368598
100	0.4950673371
101	0.4918419181
102	0.4886303894
103	0.485382209
104	0.4821397667
105	0.4789415455
106	0.4757637463
107	0.4728539474
108	0.469792952
109	0.4668120719
110	0.4638729917
111	0.460895896
112	0.4579849166
113	0.4550954002
114	0.4523071672
115	0.4496423275
116	0.4469328497
117	0.4442119813
118	0.4416189429
119	0.4390113154
120	0.4365096883
121	0.4340181351
122	0.4315796065
123	0.4290794214
124	0.4266018877
125	0.4242653648
126	0.4219287826
127	0.4196163842
128	0.4172353251
129	0.4149800149
130	0.4127373082
131	0.4104984136
132	0.4082860438
133	0.405987327
134	0.4037930535
135	0.4017010514
136	0.3995965791
137	0.3974136644
138	0.3952540737
139	0.3932650328
140	0.3913169387
141	0.3893141534
142	0.387321984
143	0.3853682212
144	0.3833634661
145	0.3814329887
146	0.3795046219
147	0.3776915762
148	0.3758124495
149	0.3740448978
150	0.372200478
151	0.3703154973
152	0.3684888891
153	0.366690052
154	0.3649100275
155	0.3631518471
156	0.3614797824
157	0.3597872884
158	0.3581619946
159	0.3564968326
160	0.3548767989
161	0.3533170259
162	0.3517464467
163	0.3501608456
164	0.3486133435
165	0.3470890295
166	0.3455595613
167	0.3441245789
168	0.3427040246
169	0.3412108495
170	0.3397186856
171	0.3382659796
172	0.3368262676
173	0.3354613699
174	0.3340159195
175	0.3326343181
176	0.3312433743
177	0.3299119045
178	0.3285366761
179	0.3271944445
180	0.3259431749
181	0.3246305598
182	0.3233003641
183	0.3220803386
184	0.3208314894
185	0.3195989453
186	0.3183631269
187	0.3171681528
188	0.3159327596
189	0.3147622289
190	0.313542869
191	0.3123542924
192	0.3111944999
193	0.3100209406
194	0.3089210978
195	0.3078224641
196	0.3066637604
197	0.3056463696
198	0.3046305381
199	0.3035321486
